,country,wdi_code,region_short,income_short,region,income,f_3,f_3_1,f_3_2,f_3_3,f_3_4,f_3_global,f_3_1_global,f_3_2_global,f_3_3_global,f_3_4_global,f_3_regional,f_3_1_regional,f_3_2_regional,f_3_3_regional,f_3_4_regional,f_3_income,f_3_1_income,f_3_2_income,f_3_3_income,f_3_4_income,q15c_dum,q15a_dum,q24a_dum,q24b_dum,q24c_dum,q24d_dum,q24e_dum,q21_dum,q20_dum,q20a_1_dum,q20a_2_dum,q20a_3_dum,q20a_4_dum,q20a_5_dum,q20a_6_dum,q20j1_dum,q20j2_dum,q20j3_dum,q20j4_dum,q20c_dum,q20e1_dum,q20e2_dum,q20e3_dum,q20e4_dum,q20e5_dum,q20f1_dum,q20f2_dum,q20i_dum,-,q20h_dum,q38g_dum,q38h_dum,q34a_dum,q15b_dum,q15d_dum,q15e_dum,q34d_dum,q34c_dum,q34f_dum,q34g_dum,q38c_dum,q38f_dum,,q15c_dum_maleC,q15c_dum_femaleC,q15a_dum_maleC,q15a_dum_femaleC,q24a_dum_maleC,q24a_dum_femaleC,q24b_dum_maleC,q24b_dum_femaleC,q24c_dum_maleC,q24c_dum_femaleC,q24d_dum_maleC,q24d_dum_femaleC,q24e_dum_maleC,q24e_dum_femaleC,q21_dum_maleC,q21_dum_femaleC,q20_dum_maleC,q20_dum_femaleC,q20a_1_dum_maleC,q20a_1_dum_femaleC,q20a_2_dum_maleC,q20a_2_dum_femaleC,q20a_3_dum_maleC,q20a_3_dum_femaleC,q20a_4_dum_maleC,q20a_4_dum_femaleC,q20a_5_dum_maleC,q20a_5_dum_femaleC,q20a_6_dum_maleC,q20a_6_dum_femaleC,q20j1_dum_maleC,q20j1_dum_femaleC,q20j2_dum_maleC,q20j2_dum_femaleC,q20j3_dum_maleC,q20j3_dum_femaleC,q20j4_dum_maleC,q20j4_dum_femaleC,q20c_dum_maleC,q20c_dum_femaleC,q20e1_dum_maleC,q20e1_dum_femaleC,q20e2_dum_maleC,q20e2_dum_femaleC,q20e3_dum_maleC,q20e3_dum_femaleC,q20e4_dum_maleC,q20e4_dum_femaleC,q20e5_dum_maleC,q20e5_dum_femaleC,q20f1_dum_maleC,q20f1_dum_femaleC,q20f2_dum_maleC,q20f2_dum_femaleC,q20i_dum_maleC,q20i_dum_femaleC,,,q20h_dum_maleC,q20h_dum_femaleC,q38g_dum_maleC,q38g_dum_femaleC,q38h_dum_maleC,q38h_dum_femaleC,q34a_dum_maleC,q34a_dum_femaleC,q15b_dum_maleC,q15b_dum_femaleC,q15d_dum_maleC,q15d_dum_femaleC,q15e_dum_maleC,q15e_dum_femaleC,q34d_dum_maleC,q34d_dum_femaleC,q34c_dum_maleC,q34c_dum_femaleC,q34f_dum_maleC,q34f_dum_femaleC,q34g_dum_maleC,q34g_dum_femaleC,q38c_dum_maleC,q38c_dum_femaleC,q38f_dum_maleC,q38f_dum_femaleC,,q15c_dum_poorC,q15c_dum_richC,q15a_dum_poorC,q15a_dum_richC,q24a_dum_poorC,q24a_dum_richC,q24b_dum_poorC,q24b_dum_richC,q24c_dum_poorC,q24c_dum_richC,q24d_dum_poorC,q24d_dum_richC,q24e_dum_poorC,q24e_dum_richC,q21_dum_poorC,q21_dum_richC,q20_dum_poorC,q20_dum_richC,q20a_1_dum_poorC,q20a_1_dum_richC,q20a_2_dum_poorC,q20a_2_dum_richC,q20a_3_dum_poorC,q20a_3_dum_richC,q20a_4_dum_poorC,q20a_4_dum_richC,q20a_5_dum_poorC,q20a_5_dum_richC,q20a_6_dum_poorC,q20a_6_dum_richC,q20j1_dum_poorC,q20j1_dum_richC,q20j2_dum_poorC,q20j2_dum_richC,q20j3_dum_poorC,q20j3_dum_richC,q20j4_dum_poorC,q20j4_dum_richC,q20c_dum_poorC,q20c_dum_richC,q20e1_dum_poorC,q20e1_dum_richC,q20e2_dum_poorC,q20e2_dum_richC,q20e3_dum_poorC,q20e3_dum_richC,q20e4_dum_poorC,q20e4_dum_richC,q20e5_dum_poorC,q20e5_dum_richC,q20f1_dum_poorC,q20f1_dum_richC,q20f2_dum_poorC,q20f2_dum_richC,q20i_dum_poorC,q20i_dum_richC,,,q20h_dum_poorC,q20h_dum_richC,q38g_dum_poorC,q38g_dum_richC,q38h_dum_poorC,q38h_dum_richC,q34a_dum_poorC,q34a_dum_richC,q15b_dum_poorC,q15b_dum_richC,q15d_dum_poorC,q15d_dum_richC,q15e_dum_poorC,q15e_dum_richC,q34d_dum_poorC,q34d_dum_richC,q34c_dum_poorC,q34c_dum_richC,q34f_dum_poorC,q34f_dum_richC,q34g_dum_poorC,q34g_dum_richC,q38c_dum_poorC,q38c_dum_richC,q38f_dum_poorC,q38f_dum_richC,
42,Ghana,GHA,AFR,LM,Sub-Saharan Africa,Lower middle ,0.56,0.39,0.49,0.73,0.63,41,81,67,23,29,3,7,4,2,2,4,16,14,2,2,0.48,0.44,0.64,0.63,0.55,0.53,0.61,0.32,0.06,0.23,0.13,0.15,0.28,0.21,0.00,0.47,0.27,0.16,0.11,0.59,0.19,0.39,0.29,0.10,0.03,0.63,0.37,0.72,,0.26,0.75,0.76,0.82,0.49,0.45,0.42,0.87,0.87,0.79,0.88,0.81,0.83,,0.49,0.48,0.45,0.43,0.64,0.64,0.66,0.60,0.56,0.53,0.53,0.54,0.60,0.61,0.35,0.27,0.07,0.05,0.28,0.14,0.13,0.14,0.15,0.14,0.18,0.48,0.28,0.10,0.00,0.00,0.49,0.44,0.24,0.30,0.17,0.13,0.10,0.13,0.61,0.55,0.30,0.00,0.30,0.55,0.25,0.36,0.10,0.09,0.05,0.00,0.65,0.60,0.35,0.40,0.73,0.70,,,0.29,0.21,0.77,0.71,0.78,0.74,0.85,0.77,0.48,0.50,0.44,0.46,0.44,0.39,0.90,0.82,0.89,0.83,0.81,0.78,0.90,0.86,0.82,0.80,0.84,0.82,,0.50,0.48,0.46,0.39,0.67,0.68,0.65,0.66,0.59,0.52,0.59,0.57,0.62,0.59,0.32,0.36,0.05,0.10,0.26,0.19,0.00,0.15,0.09,0.23,0.26,0.35,0.39,0.08,0.00,0.00,0.48,0.39,0.26,0.32,0.15,0.14,0.10,0.15,0.59,0.75,0.31,0.06,0.38,0.41,0.08,0.47,0.15,0.06,0.08,0.00,0.91,0.44,0.09,0.56,0.74,0.78,,,0.06,0.43,0.74,0.70,0.76,0.75,0.83,0.74,0.54,0.42,0.46,0.42,0.44,0.36,0.90,0.76,0.89,0.79,0.81,0.72,0.90,0.80,0.83,0.71,0.86,0.81,
43,Greece,GRC,EURNA,H,EU + EFTA + North America,High ,0.57,0.43,0.62,0.63,0.60,36,69,27,43,38,21,23,18,20,20,29,31,24,25,27,0.31,0.24,0.63,0.58,0.55,0.61,0.59,0.28,0.30,0.49,0.15,0.03,0.15,0.17,0.01,0.63,0.13,0.17,0.07,0.79,0.39,0.36,0.16,0.06,0.04,0.68,0.32,0.58,,0.06,0.55,0.73,0.71,0.23,0.28,0.22,0.82,0.75,0.51,0.60,0.38,0.82,,0.29,0.33,0.23,0.25,0.61,0.65,0.57,0.59,0.53,0.58,0.61,0.62,0.59,0.60,0.32,0.24,0.30,0.30,0.50,0.48,0.14,0.16,0.02,0.03,0.15,0.15,0.17,0.17,0.01,0.01,0.63,0.63,0.11,0.16,0.18,0.16,0.08,0.05,0.80,0.77,0.37,0.40,0.35,0.37,0.21,0.12,0.05,0.07,0.03,0.05,0.68,0.67,0.32,0.33,0.58,0.58,,,0.06,0.05,0.60,0.50,0.75,0.72,0.72,0.69,0.25,0.21,0.26,0.29,0.22,0.22,0.83,0.81,0.76,0.75,0.55,0.47,0.61,0.59,0.41,0.35,0.81,0.83,,0.30,0.33,0.25,0.25,0.61,0.68,0.57,0.59,0.53,0.60,0.58,0.68,0.57,0.64,0.27,0.32,0.31,0.32,0.46,0.58,0.15,0.13,0.04,0.01,0.16,0.13,0.17,0.14,0.02,0.00,0.61,0.70,0.14,0.09,0.17,0.17,0.08,0.04,0.77,0.79,0.35,0.43,0.38,0.37,0.13,0.18,0.08,0.02,0.06,0.00,0.67,0.68,0.33,0.32,0.55,0.63,,,0.05,0.06,0.54,0.59,0.72,0.76,0.70,0.72,0.23,0.26,0.26,0.32,0.21,0.26,0.82,0.82,0.75,0.75,0.49,0.56,0.61,0.58,0.36,0.43,0.81,0.82,
44,Guatemala,GTM,LAC,LM,Latin America & Caribbean,Lower middle ,0.48,0.32,0.52,0.59,0.50,70,96,60,55,67,16,19,12,11,18,14,23,12,9,13,0.65,0.52,0.51,0.49,0.47,0.52,0.31,0.33,0.14,0.50,0.14,0.04,0.16,0.14,0.03,0.62,0.16,0.06,0.16,0.69,0.47,0.27,0.18,0.04,0.04,0.73,0.27,0.81,,0.04,0.72,0.72,0.73,0.59,0.62,0.52,0.82,0.66,0.58,0.68,0.65,0.78,,0.64,0.66,0.51,0.53,0.54,0.43,0.51,0.43,0.50,0.40,0.52,0.51,0.37,0.19,0.40,0.27,0.16,0.12,0.46,0.55,0.15,0.12,0.05,0.03,0.16,0.16,0.15,0.12,0.04,0.02,0.63,0.61,0.13,0.20,0.06,0.06,0.18,0.13,0.70,0.68,0.36,0.61,0.36,0.15,0.20,0.15,0.04,0.05,0.04,0.05,0.68,0.80,0.32,0.20,0.80,0.83,,,0.05,0.02,0.75,0.68,0.76,0.67,0.78,0.69,0.59,0.60,0.60,0.64,0.51,0.53,0.86,0.79,0.73,0.59,0.65,0.51,0.74,0.61,0.70,0.61,0.80,0.76,,0.66,0.63,0.53,0.49,0.51,0.54,0.54,0.47,0.49,0.51,0.49,0.57,0.24,0.34,0.29,0.41,0.11,0.17,0.52,0.50,0.07,0.20,0.04,0.08,0.16,0.14,0.14,0.08,0.07,0.00,0.63,0.57,0.16,0.20,0.07,0.07,0.15,0.16,0.64,0.73,0.51,0.44,0.23,0.36,0.17,0.08,0.03,0.06,0.06,0.06,0.64,0.75,0.36,0.25,0.81,0.83,,,0.08,0.03,0.71,0.74,0.71,0.72,0.70,0.77,0.60,0.57,0.63,0.59,0.54,0.47,0.81,0.85,0.66,0.69,0.56,0.60,0.67,0.70,0.65,0.67,0.79,0.77,
45,Honduras,HND,LAC,LM,Latin America & Caribbean,Lower middle ,0.49,0.42,0.47,0.54,0.53,66,72,73,72,58,15,12,16,15,14,13,15,16,16,8,0.54,0.51,0.69,0.60,0.62,0.62,0.70,0.24,0.06,0.38,0.18,0.05,0.11,0.18,0.10,0.62,0.15,0.07,0.16,0.64,0.44,0.26,0.15,0.08,0.08,0.41,0.59,0.48,,0.08,0.70,0.67,0.69,0.51,0.48,0.44,0.75,0.64,0.57,0.69,0.58,0.76,,0.53,0.54,0.51,0.51,0.70,0.69,0.61,0.59,0.63,0.60,0.64,0.60,0.71,0.70,0.29,0.18,0.07,0.05,0.32,0.46,0.22,0.13,0.08,0.00,0.14,0.08,0.19,0.17,0.05,0.17,0.63,0.62,0.13,0.17,0.05,0.08,0.18,0.14,0.62,0.67,0.43,0.44,0.30,0.19,0.09,0.25,0.04,0.13,0.13,0.00,0.39,0.44,0.61,0.56,0.49,0.46,,,0.04,0.13,0.73,0.67,0.69,0.65,0.70,0.68,0.53,0.50,0.49,0.47,0.43,0.45,0.77,0.74,0.63,0.65,0.60,0.55,0.69,0.69,0.58,0.58,0.76,0.76,,0.54,0.54,0.52,0.52,0.70,0.69,0.60,0.58,0.61,0.64,0.63,0.58,0.71,0.67,0.20,0.30,0.05,0.07,0.36,0.38,0.14,0.24,0.03,0.10,0.11,0.14,0.19,0.14,0.17,0.00,0.60,0.70,0.16,0.12,0.08,0.04,0.16,0.13,0.64,0.67,0.30,0.57,0.22,0.36,0.22,0.07,0.13,0.00,0.13,0.00,0.43,0.36,0.57,0.64,0.44,0.57,,,0.04,0.14,0.69,0.73,0.65,0.70,0.68,0.73,0.53,0.48,0.49,0.46,0.45,0.41,0.75,0.76,0.63,0.66,0.56,0.62,0.67,0.74,0.56,0.63,0.76,0.75,
46,"Hong Kong SAR, China",HKG,EAP,H,East Asia & Pacific,High ,0.63,0.69,0.69,0.52,0.63,24,6,20,75,31,5,4,5,9,6,23,6,19,29,25,0.67,0.55,0.82,,0.78,,0.72,0.73,0.04,0.38,0.00,0.00,0.16,0.46,0.00,0.65,0.11,0.10,0.14,0.95,0.21,0.55,0.24,0.00,0.00,0.67,0.33,0.83,,0.00,0.36,0.46,0.43,0.47,0.46,0.36,0.50,0.32,0.34,0.35,0.21,0.35,,0.68,0.66,0.55,0.56,0.81,0.83,,,0.79,0.77,,,0.73,0.72,0.74,0.73,0.04,0.03,0.30,0.47,0.00,0.00,0.00,0.00,0.20,0.12,0.50,0.41,0.00,0.00,0.64,0.65,0.11,0.11,0.11,0.10,0.13,0.14,0.90,1.00,0.24,0.19,0.59,0.50,0.18,0.31,0.00,0.00,0.00,0.00,0.71,0.63,0.29,0.38,0.84,0.82,,,0.00,0.00,0.38,0.35,0.49,0.42,0.44,0.41,0.45,0.49,0.46,0.46,0.33,0.39,0.53,0.47,0.35,0.30,0.33,0.34,0.34,0.37,0.24,0.19,0.35,0.35,,0.64,0.64,0.55,0.47,0.82,0.84,,,0.75,0.82,,,0.69,0.76,0.73,0.72,0.02,0.06,0.25,0.48,0.00,0.00,0.00,0.00,0.38,0.00,0.38,0.52,0.00,0.00,0.64,0.61,0.12,0.14,0.10,0.12,0.15,0.13,1.00,0.95,0.00,0.28,0.88,0.50,0.13,0.22,0.00,0.00,0.00,0.00,0.88,0.63,0.13,0.37,1.00,0.80,,,0.00,0.00,0.40,0.37,0.46,0.47,0.42,0.48,0.48,0.36,0.46,0.39,0.36,0.24,0.48,0.59,0.31,0.40,0.36,0.29,0.39,0.34,0.18,0.30,0.32,0.44,
47,Hungary,HUN,EURNA,UM,EU + EFTA + North America,Upper middle ,0.51,0.49,0.55,0.51,0.51,56,40,49,81,65,24,18,23,24,24,17,9,12,22,21,0.47,0.32,0.53,0.46,0.44,0.54,0.47,0.71,0.05,0.22,0.18,0.26,0.06,0.28,0.00,0.72,0.18,0.07,0.03,0.76,0.56,0.23,0.00,0.10,0.10,0.46,0.54,0.84,,0.24,0.56,0.50,0.67,0.35,0.45,0.40,0.73,0.54,0.31,0.48,0.25,0.81,,0.45,0.50,0.29,0.35,0.53,0.54,0.46,0.45,0.45,0.43,0.55,0.53,0.47,0.47,0.70,0.71,0.06,0.04,0.17,0.29,0.24,0.10,0.24,0.29,0.07,0.05,0.28,0.29,0.00,0.00,0.69,0.74,0.20,0.16,0.07,0.07,0.04,0.03,0.77,0.76,0.57,0.56,0.13,0.38,0.00,0.00,0.17,0.00,0.13,0.06,0.43,0.50,0.57,0.50,0.83,0.86,,,0.30,0.17,0.59,0.53,0.53,0.48,0.65,0.68,0.34,0.36,0.45,0.46,0.36,0.45,0.74,0.71,0.57,0.51,0.31,0.31,0.48,0.48,0.26,0.23,0.84,0.79,,0.47,0.47,0.33,0.29,0.53,0.54,0.44,0.50,0.43,0.45,0.52,0.56,0.47,0.46,0.71,0.68,0.05,0.06,0.25,0.17,0.06,0.39,0.38,0.06,0.06,0.06,0.25,0.33,0.00,0.00,0.73,0.68,0.18,0.19,0.06,0.08,0.03,0.04,0.85,0.61,0.54,0.64,0.32,0.00,0.00,0.00,0.11,0.09,0.04,0.27,0.46,0.45,0.54,0.55,0.82,0.89,,,0.14,0.41,0.55,0.59,0.50,0.53,0.67,0.66,0.36,0.32,0.44,0.47,0.42,0.36,0.72,0.75,0.53,0.56,0.32,0.29,0.50,0.43,0.24,0.26,0.80,0.85,
48,India,IND,SA,LM,South Asia,Lower middle ,0.57,0.54,0.50,0.65,0.58,37,27,66,39,43,1,1,4,2,2,3,1,13,6,4,0.72,0.68,0.66,0.56,0.54,0.52,0.56,0.22,0.01,0.40,0.20,0.10,0.00,0.20,0.10,,,,,0.67,0.00,0.00,0.67,0.33,0.00,0.33,0.67,0.40,,0.33,0.64,0.62,0.90,0.61,0.57,0.60,0.64,0.72,0.61,0.63,0.74,0.72,,0.70,0.74,0.67,0.68,0.67,0.64,0.58,0.55,0.56,0.53,0.53,0.51,0.57,0.55,0.26,0.18,0.01,0.01,0.33,0.50,0.17,0.25,0.00,0.25,0.00,0.00,0.33,0.00,0.17,0.00,,,,,,,,,0.67,0.67,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.50,0.00,0.50,1.00,0.67,0.00,,,0.50,0.00,0.63,0.65,0.61,0.62,0.89,0.91,0.61,0.60,0.57,0.56,0.60,0.60,0.63,0.66,0.71,0.73,0.61,0.61,0.61,0.64,0.75,0.73,0.70,0.73,,0.72,0.72,0.67,0.68,0.66,0.64,0.58,0.56,0.57,0.49,0.52,0.53,0.58,0.53,0.22,0.23,0.01,0.01,0.50,0.00,0.25,0.00,0.00,0.50,0.00,0.00,0.13,0.50,0.13,0.00,,,,,,,,,0.80,0.00,0.00,,0.00,,0.67,,0.33,,0.00,,0.33,,0.67,,0.50,0.00,,,0.33,,0.64,0.64,0.62,0.63,0.90,0.90,0.60,0.62,0.57,0.56,0.62,0.58,0.64,0.66,0.71,0.73,0.60,0.63,0.63,0.64,0.73,0.76,0.72,0.72,
49,Indonesia,IDN,EAP,LM,East Asia & Pacific,Lower middle ,0.58,0.49,0.56,0.68,0.57,32,39,46,31,45,7,10,8,5,7,2,5,6,3,5,0.83,0.75,0.90,0.84,0.78,0.81,0.85,0.25,0.02,0.35,0.20,0.05,0.05,0.30,0.05,0.70,0.24,0.05,0.01,0.71,0.47,0.33,0.13,0.07,0.00,0.53,0.47,0.74,,0.07,0.62,0.68,0.80,0.81,0.79,0.73,0.84,0.84,0.81,0.87,0.89,0.92,,0.83,0.84,0.75,0.76,0.90,0.89,0.85,0.82,0.79,0.77,0.82,0.81,0.85,0.84,0.29,0.20,0.02,0.02,0.50,0.13,0.00,0.50,0.08,0.00,0.08,0.00,0.33,0.25,0.00,0.13,0.70,0.70,0.24,0.24,0.05,0.05,0.01,0.01,0.77,0.63,0.30,0.80,0.40,0.20,0.20,0.00,0.10,0.00,0.00,0.00,0.40,0.80,0.60,0.20,0.69,0.83,,,0.10,0.00,0.60,0.63,0.66,0.70,0.78,0.82,0.83,0.80,0.78,0.80,0.73,0.73,0.83,0.84,0.84,0.84,0.80,0.83,0.86,0.89,0.88,0.91,0.92,0.92,,0.83,0.83,0.73,0.79,0.90,0.89,0.85,0.82,0.78,0.78,0.82,0.80,0.84,0.85,0.22,0.30,0.02,0.02,0.25,0.50,0.25,0.13,0.08,0.00,0.08,0.00,0.33,0.25,0.00,0.13,0.69,0.71,0.26,0.21,0.04,0.05,0.00,0.03,0.77,0.63,0.50,0.40,0.30,0.40,0.10,0.20,0.10,0.00,0.00,0.00,0.70,0.20,0.30,0.80,0.92,0.33,,,0.10,0.00,0.62,0.62,0.67,0.69,0.77,0.84,0.81,0.82,0.79,0.79,0.73,0.73,0.83,0.85,0.83,0.86,0.81,0.83,0.89,0.85,0.88,0.92,0.93,0.90,
50,Iran,IRN,MENA,UM,Middle East & North Africa,Upper middle ,0.35,0.40,0.46,0.25,0.28,99,78,74,99,98,7,6,4,7,7,31,27,25,30,31,0.39,0.45,0.64,0.59,0.56,0.46,0.59,0.20,0.15,0.25,0.25,0.09,0.21,0.22,0.00,1.00,0.00,0.00,0.00,0.55,0.34,0.37,0.16,0.07,0.05,0.62,0.38,0.60,,0.12,0.28,0.40,,0.34,0.41,0.34,0.53,,0.20,0.22,0.23,0.26,,0.37,0.40,0.44,0.47,0.60,0.67,0.58,0.60,0.53,0.60,0.45,0.47,0.56,0.61,0.22,0.19,0.17,0.14,0.29,0.19,0.20,0.30,0.08,0.09,0.21,0.19,0.21,0.22,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.51,0.59,0.37,0.31,0.34,0.40,0.13,0.20,0.08,0.06,0.08,0.03,0.53,0.71,0.47,0.29,0.65,0.54,,,0.23,0.00,0.26,0.30,0.40,0.40,,,0.36,0.33,0.39,0.43,0.34,0.35,0.52,0.55,,,0.19,0.21,0.23,0.21,0.22,0.24,0.26,0.26,,0.39,0.40,0.48,0.41,0.65,0.57,0.58,0.56,0.59,0.50,0.46,0.46,0.58,0.58,0.21,0.22,0.16,0.16,0.28,0.18,0.16,0.45,0.09,0.09,0.22,0.14,0.25,0.14,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.52,0.58,0.44,0.14,0.31,0.50,0.17,0.18,0.04,0.09,0.04,0.09,0.64,0.57,0.36,0.43,0.62,0.61,,,0.13,0.10,0.29,0.29,0.41,0.40,,,0.36,0.30,0.38,0.47,0.35,0.34,0.54,0.50,,,0.21,0.17,0.20,0.24,0.25,0.18,0.24,0.25,
51,Italy,ITA,EURNA,H,EU + EFTA + North America,High ,0.61,0.58,0.59,0.69,0.58,28,19,32,30,41,18,12,20,18,21,26,19,26,24,28,,,,,,,0.38,0.44,0.22,0.34,0.15,0.09,0.19,0.17,0.05,0.75,0.07,0.11,0.07,0.52,0.27,0.35,0.24,0.10,0.05,0.47,0.53,,,0.13,0.62,0.72,0.87,0.20,0.20,,0.87,0.77,0.61,0.72,0.51,0.85,,,,,,,,,,,,,,0.39,0.38,0.49,0.38,0.24,0.20,0.31,0.39,0.15,0.15,0.12,0.07,0.17,0.22,0.19,0.14,0.06,0.05,0.75,0.76,0.05,0.09,0.12,0.09,0.08,0.06,0.56,0.47,0.22,0.33,0.39,0.29,0.22,0.26,0.14,0.05,0.03,0.07,0.51,0.41,0.49,0.59,,,,,0.12,0.15,0.65,0.60,0.73,0.71,0.88,0.86,0.21,0.19,0.21,0.19,,,0.88,0.86,0.79,0.74,0.65,0.58,0.72,0.72,0.53,0.48,0.86,0.85,,,,,,,,,,,,,,0.36,0.43,0.39,0.50,0.22,0.24,0.37,0.32,0.13,0.18,0.10,0.09,0.16,0.21,0.17,0.15,0.06,0.05,0.74,0.73,0.06,0.09,0.11,0.11,0.09,0.06,0.55,0.51,0.32,0.18,0.32,0.39,0.19,0.31,0.06,0.12,0.11,0.00,0.50,0.43,0.50,0.57,,,,,0.11,0.14,0.60,0.65,0.71,0.72,0.87,0.88,0.20,0.21,0.19,0.20,,,0.88,0.89,0.74,0.82,0.58,0.65,0.71,0.74,0.50,0.53,0.85,0.86,
52,Jamaica,JAM,LAC,UM,Latin America & Caribbean,Upper middle ,0.51,0.38,0.48,0.65,0.53,57,82,69,35,56,12,16,14,4,13,18,30,23,4,16,0.33,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.67,0.82,0.27,0.34,0.27,0.88,0.76,0.69,0.76,0.60,0.65,,0.31,0.35,0.29,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.67,0.65,0.66,0.67,0.81,0.83,0.28,0.25,0.33,0.35,0.26,0.28,0.88,0.89,0.75,0.76,0.70,0.67,0.77,0.76,0.62,0.58,0.65,0.64,,0.32,0.34,0.26,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.66,0.66,0.66,0.67,0.82,0.84,0.24,0.29,0.31,0.37,0.25,0.30,0.92,0.87,0.75,0.75,0.70,0.74,0.79,0.75,0.63,0.58,0.63,0.60,
53,Japan,JPN,EAP,H,East Asia & Pacific,High ,0.72,0.70,0.75,0.75,0.70,12,5,5,19,21,4,3,2,3,4,12,5,5,18,20,0.74,0.67,0.83,0.79,0.76,0.81,0.53,0.58,0.05,0.59,0.15,0.02,0.09,0.09,0.07,0.64,0.21,0.05,0.10,0.90,0.06,0.80,0.14,0.00,0.00,0.84,0.16,0.74,,0.00,0.89,0.90,0.94,0.46,0.48,0.33,0.96,0.91,0.91,0.91,0.89,0.87,,0.74,0.75,0.66,0.68,0.83,0.84,0.80,0.78,0.76,0.75,0.81,0.81,0.49,0.57,0.57,0.60,0.04,0.05,0.64,0.54,0.09,0.21,0.00,0.04,0.05,0.13,0.14,0.04,0.09,0.04,0.62,0.67,0.24,0.18,0.06,0.04,0.09,0.11,0.90,0.90,0.12,0.00,0.88,0.72,0.00,0.28,0.00,0.00,0.00,0.00,0.89,0.79,0.11,0.21,0.76,0.73,,,0.00,0.00,0.89,0.89,0.90,0.90,0.94,0.94,0.44,0.47,0.47,0.49,0.30,0.37,0.97,0.95,0.92,0.90,0.91,0.91,0.91,0.90,0.89,0.89,0.86,0.87,,0.73,0.82,0.65,0.78,0.83,0.92,0.79,0.83,0.75,0.83,0.79,0.86,0.53,0.50,0.57,0.64,0.04,0.06,0.61,0.50,0.17,0.20,0.04,0.00,0.09,0.20,0.04,0.10,0.04,0.00,0.63,0.69,0.21,0.20,0.05,0.03,0.11,0.08,0.95,0.90,0.06,0.00,0.78,0.89,0.17,0.11,0.00,0.00,0.00,0.00,0.90,0.78,0.10,0.22,0.83,0.78,,,0.00,0.00,0.89,0.94,0.89,0.94,0.93,0.98,0.44,0.57,0.45,0.57,0.31,0.39,0.95,0.97,0.91,0.93,0.90,0.95,0.90,0.94,0.87,0.96,0.85,0.94,
54,Jordan,JOR,MENA,UM,Middle East & North Africa,Upper middle ,0.46,0.46,0.44,0.43,0.50,76,52,82,86,69,4,3,5,5,2,23,13,28,24,23,0.40,0.45,0.81,0.73,0.66,0.64,0.64,0.08,0.03,0.55,0.24,0.03,0.00,0.17,0.00,,,,,0.96,0.70,0.30,0.00,0.00,0.00,0.44,0.56,0.73,,0.48,0.64,0.62,0.73,0.40,0.48,0.52,0.38,0.47,0.46,0.48,0.66,0.64,,0.48,0.31,0.44,0.46,0.79,0.83,0.70,0.76,0.59,0.73,0.56,0.73,0.57,0.71,0.01,0.13,0.02,0.04,0.50,0.58,0.50,0.11,0.00,0.05,0.00,0.00,0.00,0.26,0.00,0.00,,,,,,,,,1.00,0.94,0.55,0.81,0.45,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.69,0.91,0.31,0.36,0.95,,,1.00,0.13,0.69,0.59,0.67,0.58,0.77,0.69,0.47,0.33,0.57,0.39,0.57,0.47,0.31,0.44,0.47,0.47,0.51,0.43,0.54,0.44,0.73,0.58,0.68,0.59,,0.36,0.47,0.31,0.71,0.74,0.95,0.63,0.93,0.55,0.90,0.53,0.88,0.52,0.90,0.08,0.08,0.04,0.01,0.60,0.50,0.24,0.00,0.00,0.50,0.00,0.00,0.16,0.00,0.00,0.00,,,,,,,,,1.00,0.67,0.71,1.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.38,1.00,0.63,0.00,0.69,1.00,,,0.50,0.00,0.67,0.59,0.64,0.62,0.75,0.71,0.35,0.48,0.48,0.49,0.52,0.52,0.28,0.57,0.40,0.63,0.37,0.60,0.41,0.59,0.70,0.58,0.66,0.62,
